time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-12-12T07:20:47.019Z,44.1923,147.7507,83.504,4.6,mb,93,135,3.713,0.34,us,us6000j8qd,2023-02-18T22:04:05.040Z,"93 km ENE of Shikotan, Russia",earthquake,8.78,7.691,0.061,81,reviewed,us,us
2022-12-11T20:29:25.978Z,39.4407,142.012,54.073,4.6,mb,74,115,1.531,0.72,us,us6000j8na,2023-02-18T22:04:04.040Z,"6 km ESE of Yamada, Japan",earthquake,7.99,6.583,0.076,51,reviewed,us,us
2022-12-11T14:12:43.601Z,31.0191,141.7972,10,4.9,mb,56,122,2.684,0.66,us,us6000j8lk,2023-02-18T22:04:03.040Z,"Izu Islands, Japan region",earthquake,10.49,1.883,0.057,98,reviewed,us,us
2022-12-11T12:43:41.946Z,41.7719,144.4932,10,4.7,mb,62,134,1.027,0.59,us,us6000j8l7,2023-02-18T22:04:03.040Z,"133 km S of Kushiro, Japan",earthquake,6.53,1.873,0.084,43,reviewed,us,us
2022-12-11T12:03:17.850Z,41.7616,144.3778,10,4.9,mb,61,133,0.946,0.58,us,us6000j8l0,2023-02-18T22:04:03.040Z,"134 km S of Kushiro, Japan",earthquake,6.3,1.867,0.065,74,reviewed,us,us
2022-12-11T09:46:38.250Z,37.2172,141.663,27.661,4.8,mb,79,126,2.85,0.44,us,us6000j8kg,2023-02-18T22:04:03.040Z,"65 km ESE of Namie, Japan",earthquake,6.56,3.712,0.048,135,reviewed,us,us
2022-12-10T23:53:35.984Z,32.8768,141.6183,10,4.8,mww,169,58,1.535,0.68,us,us6000j8hx,2023-02-18T22:04:02.040Z,"279 km SSE of Katsuura, Japan",earthquake,6.74,1.781,0.078,16,reviewed,us,us
2022-12-08T02:42:52.683Z,33.5746,140.1496,102.318,4.5,mb,67,101,0.537,0.6,us,us6000j7th,2023-02-11T23:03:15.040Z,"158 km S of Tateyama, Japan",earthquake,7.13,5.246,0.092,35,reviewed,us,us
2022-12-06T20:39:55.799Z,36.4215,140.9664,54.701,4.5,mb,111,89,2.225,0.69,us,us6000j7fk,2023-02-11T23:03:12.040Z,"34 km SE of Hitachi, Japan",earthquake,6.69,4.908,0.063,82,reviewed,us,us
2022-12-05T15:20:56.494Z,41.0879,142.3257,55.229,4.8,mb,56,133,1.001,0.56,us,us6000j711,2023-02-11T23:03:08.040Z,"90 km ENE of Misawa, Japan",earthquake,5.53,6.902,0.103,33,reviewed,us,us
2022-12-04T20:27:09.530Z,31.3813,132.4033,10,4.8,mb,93,71,1.672,0.89,us,us6000j6wi,2023-02-11T23:03:06.040Z,"101 km ESE of Nichinan, Japan",earthquake,4.51,1.798,0.076,53,reviewed,us,us
2022-12-02T12:04:30.291Z,35.3699,140.4242,51.032,4.5,mb,40,126,1.965,0.34,us,us6000j69y,2023-02-05T23:26:02.040Z,"13 km ESE of Mobara, Japan",earthquake,6.95,6.861,0.115,22,reviewed,us,us
2022-12-01T04:54:40.065Z,40.4901,143.9081,10,4.9,mb,85,121,1.625,0.68,us,us6000j5xr,2023-02-05T23:25:43.040Z,"192 km ENE of Miyako, Japan",earthquake,7.21,1.841,0.082,47,reviewed,us,us
2022-12-01T03:36:58.451Z,40.5151,143.8448,10,4.8,mb,63,76,1.586,0.69,us,us6000j5x8,2023-02-05T23:25:41.040Z,"off the east coast of Honshu, Japan",earthquake,7.18,1.861,0.059,88,reviewed,us,us
2022-11-30T18:10:30.406Z,40.2398,142.1853,58.173,4.5,mb,24,154,1.016,0.85,us,us6000j5ui,2023-02-05T23:25:37.040Z,"64 km ESE of Hachinohe, Japan",earthquake,6.65,8.811,0.172,10,reviewed,us,us
2022-11-30T08:07:01.407Z,37.4506,137.2007,10,4.6,mb,62,87,1.209,1.12,us,us6000j5qe,2023-02-05T23:25:29.040Z,"near the west coast of Honshu, Japan",earthquake,5.23,1.844,0.078,49,reviewed,us,us
2022-11-30T03:45:58.852Z,37.2802,141.7077,48.106,5,mww,112,55,2.899,0.63,us,us6000j5pc,2023-02-05T23:25:27.040Z,"66 km ESE of Namie, Japan",earthquake,6.79,4.493,0.086,13,reviewed,us,us
2022-11-27T21:40:46.163Z,41.1763,142.8593,48.932,4.6,mb,50,134,0.867,0.45,us,us7000istd,2023-02-05T23:24:24.040Z,"134 km SSE of Shizunai-furukawach?, Japan",earthquake,6.05,6.177,0.071,59,reviewed,us,us
2022-11-26T20:00:19.253Z,32.319,142.4366,16.325,4.9,mb,177,67,2.349,0.48,us,us7000islk,2023-02-05T23:24:07.040Z,"Izu Islands, Japan region",earthquake,8.6,3.675,0.046,150,reviewed,us,us
2022-11-26T17:45:57.803Z,32.3385,142.4293,16.212,4.9,mb,110,86,2.337,0.5,us,us7000isl1,2023-02-05T23:24:04.040Z,"Izu Islands, Japan region",earthquake,8.76,3.58,0.042,183,reviewed,us,us
2022-11-26T15:17:35.911Z,31.1686,138.8565,303.878,4.5,mb,77,88,2.104,0.82,us,us7000iski,2023-02-05T23:24:02.040Z,"Izu Islands, Japan region",earthquake,8.54,5.683,0.043,157,reviewed,us,us
2022-11-26T12:58:11.806Z,37.5496,137.2199,8.813,4.5,mb,37,90,1.274,0.38,us,us6000j62c,2023-02-05T23:24:01.040Z,"59 km NNE of Nanao, Japan",earthquake,5.11,4.077,0.163,18,reviewed,us,us
2022-11-25T17:01:50.763Z,36.1311,141.6532,35.451,4.5,mb,23,151,2.811,0.82,us,us6000j5tq,2023-01-30T06:01:50.040Z,"86 km ENE of Hasaki, Japan",earthquake,4.44,9.741,0.156,14,reviewed,us,us
2022-11-25T07:04:30.161Z,34.3407,137.4653,319.813,4.5,mb,111,61,0.681,0.65,us,us7000is9w,2023-01-30T06:01:43.040Z,"40 km SSE of Tahara, Japan",earthquake,6.97,6.426,0.06,81,reviewed,us,us
2022-11-23T19:34:30.209Z,35.7371,140.2665,65.241,4.5,mb,60,126,1.849,0.72,us,us7000irvx,2023-01-30T06:01:19.040Z,"2 km N of Shisui, Japan",earthquake,6.77,5.963,0.084,42,reviewed,us,us
2022-11-23T16:52:26.536Z,33.7349,141.3584,32.339,5.2,mww,139,32,1.432,0.51,us,us7000irv5,2023-01-30T06:01:17.040Z,"off the east coast of Honshu, Japan",earthquake,7.65,4.043,0.065,23,reviewed,us,us
2022-11-23T16:26:55.887Z,44.2761,140.1667,248.285,4.8,mb,110,40,1.752,0.42,us,us7000iru6,2023-01-30T06:01:16.040Z,"eastern Sea of Japan",earthquake,8.53,5.885,0.027,415,reviewed,us,us
2022-11-23T04:54:23.090Z,31.4273,138.6185,10,4.5,mb,32,132,1.954,0.7,us,us7000irqz,2023-01-30T06:01:07.040Z,"Izu Islands, Japan region",earthquake,9.05,1.907,0.135,16,reviewed,us,us
2022-11-22T16:06:39.911Z,31.4749,138.535,10,4.6,mb,30,151,1.951,1.09,us,us7000irj8,2023-01-30T06:00:58.040Z,"Izu Islands, Japan region",earthquake,4.41,1.91,0.152,14,reviewed,us,us
2022-11-20T20:19:06.993Z,37.0561,141.2274,49.603,4.5,mb,51,89,2.476,0.93,us,us7000ir7f,2023-01-30T06:00:28.040Z,"30 km E of Iwaki, Japan",earthquake,7.62,6.434,0.086,40,reviewed,us,us
2022-11-20T12:16:20.817Z,32.3621,142.4036,10,4.5,mb,53,101,2.308,0.34,us,us7000is4w,2023-01-30T06:00:24.040Z,"",earthquake,8.48,1.879,0.098,31,reviewed,us,us
2022-11-20T09:17:24.471Z,42.9148,144.6975,54.638,4.6,mwr,115,60,1.452,0.38,us,us7000ir4k,2023-01-30T06:00:22.040Z,"27 km ESE of Kushiro, Japan",earthquake,3.11,6.396,0.093,11,reviewed,us,us
2022-11-17T17:35:19.593Z,38.1835,141.8036,56.678,4.6,mb,88,112,2.665,0.68,us,us7000iqie,2023-01-28T19:58:23.040Z,"",earthquake,7.52,5.409,0.059,85,reviewed,us,us
2022-11-17T12:43:29.701Z,35.6079,140.1519,64.858,4.5,mb,63,124,1.829,0.71,us,us7000iqed,2023-01-28T19:58:21.040Z,"3 km ENE of Chiba, Japan",earthquake,6.55,5.909,0.058,88,reviewed,us,us
2022-11-17T00:28:20.703Z,40.7826,142.3468,66.476,4.9,mww,235,80,0.974,0.63,us,us7000iq9c,2023-01-28T19:58:20.040Z,"78 km ENE of Hachinohe, Japan",earthquake,6.32,2.474,0.098,10,reviewed,us,us
2022-11-14T13:27:58.983Z,37.4099,137.2938,12.694,4.6,mb,70,88,1.129,0.53,us,us7000iplv,2023-01-28T19:58:14.040Z,"49 km NE of Nanao, Japan",earthquake,6.23,4.04,0.07,63,reviewed,us,us
2022-11-14T08:08:26.124Z,33.8139,137.3055,346,6.1,mww,274,28,1.127,0.63,us,us7000ipkm,2023-01-28T19:58:14.040Z,"85 km SSE of Toba, Japan",earthquake,7.92,1.907,0.042,54,reviewed,us,us
2022-11-13T08:16:47.953Z,44.002,148.2124,35,5.1,mb,108,120,4.052,0.52,us,us7000ipfq,2023-01-28T19:58:11.040Z,"Kuril Islands",earthquake,5.58,1.869,0.024,560,reviewed,us,us
2022-11-09T08:40:11.927Z,36.1855,140.0343,56.302,4.8,mww,112,55,1.516,0.91,us,us7000ingc,2023-01-21T19:27:16.040Z,"6 km WSW of Tsukuba, Japan",earthquake,2.56,4.605,0.098,10,reviewed,us,us
2022-11-09T03:37:25.258Z,31.6492,131.827,35,4.5,mb,60,88,1.181,0.71,us,us7000inf2,2023-01-21T19:27:15.040Z,"Kyushu, Japan",earthquake,6.05,1.901,0.106,26,reviewed,us,us
2022-11-08T20:56:42.386Z,32.3934,142.3786,10,4.6,mb,74,101,2.278,0.45,us,us7000ind1,2023-01-21T19:27:15.040Z,"",earthquake,9.09,1.859,0.086,47,reviewed,us,us
2022-11-06T04:23:31.711Z,43.2618,146.7898,23.792,5.2,mww,101,99,2.956,0.79,us,us7000imu3,2023-01-21T19:27:10.040Z,"59 km S of Shikotan, Russia",earthquake,10.58,3.887,0.073,18,reviewed,us,us
2022-11-03T11:16:57.209Z,35.5846,140.2147,66.633,4.8,mb,68,108,1.885,0.7,us,us7000im5q,2023-01-12T23:11:10.040Z,"8 km SSE of Yotsukaid?, Japan",earthquake,6.48,5.936,0.072,59,reviewed,us,us
2022-11-03T10:04:33.746Z,35.5684,140.1422,73.534,4.9,mww,103,91,0.295,0.86,us,us7000im5c,2023-01-12T23:11:09.040Z,"4 km SSE of Chiba, Japan",earthquake,6.01,4.027,0.08,15,reviewed,us,us
2022-11-01T23:45:54.466Z,41.9614,144.9414,14.274,5.1,mb,114,134,1.331,0.57,us,us7000ilua,2023-01-12T23:10:58.040Z,"121 km SSE of Kushiro, Japan",earthquake,7.93,4.254,0.042,180,reviewed,us,us
2022-10-29T19:46:56.307Z,32.3746,142.5989,10,4.8,mb,91,103,2.46,0.54,us,us7000il7l,2023-01-12T23:10:32.040Z,"Izu Islands, Japan region",earthquake,8.54,1.817,0.073,59,reviewed,us,us
2022-10-29T19:46:34.988Z,32.1962,142.7233,10,4.5,mb,38,130,2.62,0.62,us,us7000il81,2023-01-12T23:10:33.040Z,"Izu Islands, Japan region",earthquake,5.36,1.883,0.14,15,reviewed,us,us
2022-10-28T20:56:27.188Z,37.3501,141.86,47.949,4.7,mb,85,120,3.034,0.68,us,us7000il1t,2023-01-03T15:23:48.040Z,"77 km ESE of Namie, Japan",earthquake,3.05,6.359,0.079,57,reviewed,us,us
2022-10-27T18:01:11.799Z,44.4567,146.6705,136.913,4.7,mb,97,122,2.948,0.71,us,us7000ikrv,2023-01-03T15:23:43.040Z,"73 km N of Shikotan, Russia",earthquake,9.46,5.607,0.038,207,reviewed,us,us
2022-10-27T14:36:28.676Z,32.2923,142.9069,15.463,4.5,mb,26,188,2.734,0.38,us,us7000ikpx,2023-01-03T15:23:42.040Z,"Izu Islands, Japan region",earthquake,10.71,6.243,0.156,12,reviewed,us,us
2022-10-27T13:25:05.027Z,41.9079,144.7601,30.253,5,mb,45,136,1.2,0.5,us,us7000ikpr,2023-01-03T15:23:42.040Z,"122 km SSE of Kushiro, Japan",earthquake,8.58,3.54,0.068,70,reviewed,us,us
2022-10-27T05:28:59.142Z,33.456,141.2416,38.02,4.5,mb,17,139,1.243,0.22,us,us7000ilqr,2023-01-03T15:23:49.040Z,"205 km SSE of Katsuura, Japan",earthquake,4.14,8.014,0.204,7,reviewed,us,us
2022-10-27T04:20:06.780Z,32.1925,142.5361,10,5,mb,18,95,2.499,0.68,us,us7000ilqx,2023-01-03T15:23:49.040Z,"",earthquake,6.11,1.938,0.188,9,reviewed,us,us
2022-10-26T07:06:01.197Z,41.9665,144.7814,22.883,5.3,mww,107,84,1.212,0.69,us,us7000ikfi,2023-01-03T15:23:40.040Z,"116 km SSE of Kushiro, Japan",earthquake,7.48,3.65,0.071,19,reviewed,us,us
2022-10-26T07:05:07.639Z,42.0197,144.8843,10,4.6,mb,43,121,1.287,0.43,us,us7000ikfl,2023-01-03T15:23:40.040Z,"114 km SSE of Kushiro, Japan",earthquake,8.22,1.877,0.146,18,reviewed,us,us
2022-10-25T22:49:15.770Z,30.1836,131.2196,29.854,4.9,mb,74,122,1.477,0.64,us,us7000ikcv,2023-01-03T15:23:40.040Z,"59 km ESE of Koseda, Japan",earthquake,6.66,4.604,0.062,82,reviewed,us,us
2022-10-25T11:00:16.087Z,31.4883,141.6452,10,4.6,mb,32,119,2.244,0.46,us,us7000ikzr,2023-01-03T15:23:46.040Z,"Izu Islands, Japan region",earthquake,4.89,1.893,0.172,11,reviewed,us,us
2022-10-24T21:07:08.629Z,29.691,129.754,10.109,4.5,mb,23,127,1.91,0.45,us,us7000ikyh,2023-01-03T15:23:45.040Z,"91 km SW of Kurio, Japan",earthquake,10.03,2.822,0.144,14,reviewed,us,us
2022-10-24T16:06:50.657Z,29.5504,130.624,35,4.7,mb,65,122,1.958,0.42,us,us6000iw47,2023-01-03T15:23:36.040Z,"76 km S of Koshima, Japan",earthquake,2.43,1.882,0.087,44,reviewed,us,us
2022-10-24T08:48:22.687Z,41.9024,145.05,10,4.6,mb,89,133,1.416,0.37,us,us6000iw1k,2023-01-03T15:23:36.040Z,"131 km SSE of Kushiro, Japan",earthquake,4.24,1.856,0.072,58,reviewed,us,us
2022-10-24T07:43:50.929Z,41.9217,144.9656,10,4.9,mb,87,134,1.352,0.42,us,us6000iw1c,2023-01-03T15:23:36.040Z,"126 km SSE of Kushiro, Japan",earthquake,8.07,1.876,0.075,55,reviewed,us,us
